7/8/2000 7:16 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.04333	
//WLCalib: 261S 	-0.46000	
//WLCalib: 362S 	-0.29000	
//WLCalib: 484S 	-0.24000	
//WLCalib: 529S 	-0.30000	
//WLCalib: 823S 	-0.76000	
//QSpecEnd: 
769.0	0.042
769.5	0.043
770.0	0.043
770.5	0.043
771.0	0.043
771.5	0.043
772.0	0.042
772.5	0.042
773.0	0.042
773.5	0.041
774.0	0.041
774.5	0.040
775.0	0.040
775.5	0.040
776.0	0.040
776.5	0.041
777.0	0.041
777.5	0.041
778.0	0.042
778.5	0.043
779.0	0.044
779.5	0.044
780.0	0.043
780.5	0.042
781.0	0.041
781.5	0.040
782.0	0.040
782.5	0.040
783.0	0.041
783.5	0.041
784.0	0.041
784.5	0.041
785.0	0.040
785.5	0.039
786.0	0.039
786.5	0.040
787.0	0.041
787.5	0.041
788.0	0.042
788.5	0.042
789.0	0.042
789.5	0.042
790.0	0.042
790.5	0.042
791.0	0.042
791.5	0.043
792.0	0.043
792.5	0.043
793.0	0.042
793.5	0.041
794.0	0.040
794.5	0.039
795.0	0.038
795.5	0.036
796.0	0.036
796.5	0.036
797.0	0.036
797.5	0.036
798.0	0.037
798.5	0.037
799.0	0.039
799.5	0.040
800.0	0.040
800.5	0.039
801.0	0.039
801.5	0.039
802.0	0.038
802.5	0.038
803.0	0.038
803.5	0.037
804.0	0.037
804.5	0.035
805.0	0.035
805.5	0.034
806.0	0.034
806.5	0.034
807.0	0.035
807.5	0.037
808.0	0.037
808.5	0.037
809.0	0.037
809.5	0.037
810.0	0.038
810.5	0.038
811.0	0.038
811.5	0.039
812.0	0.039
812.5	0.040
813.0	0.040
813.5	0.041
814.0	0.041
814.5	0.040
815.0	0.040
815.5	0.038
816.0	0.038
816.5	0.038
817.0	0.038
817.5	0.037
818.0	0.038
818.5	0.038
819.0	0.038
819.5	0.039
820.0	0.039
820.5	0.039
821.0	0.041
821.5	0.041
822.0	0.041
822.5	0.041
823.0	0.041
823.5	0.040
824.0	0.039
824.5	0.038
825.0	0.038
825.5	0.039
826.0	0.039
826.5	0.040
827.0	0.039
827.5	0.038
828.0	0.038
828.5	0.037
829.0	0.037
829.5	0.036
830.0	0.036
830.5	0.036
831.0	0.037
831.5	0.037
832.0	0.036
832.5	0.036
833.0	0.036
833.5	0.036
834.0	0.036
834.5	0.037
835.0	0.036
835.5	0.037
836.0	0.037
836.5	0.037
837.0	0.037
837.5	0.037
838.0	0.037
838.5	0.036
839.0	0.037
839.5	0.038
840.0	0.039
840.5	0.040
841.0	0.040
841.5	0.040
842.0	0.040
842.5	0.039
843.0	0.037
843.5	0.035
844.0	0.036
844.5	0.036
845.0	0.037
845.5	0.037
846.0	0.038
846.5	0.039
847.0	0.040
847.5	0.041
848.0	0.041
848.5	0.040
849.0	0.040
849.5	0.038
850.0	0.037

